Gender,"child, 1-3","female, 4-8","male, 4-8","female, 9-13","male, 9-13","female, 14-18","male, 14-18","female, 19-30","male, 19-30","female, 31-50","male, 31-50","female, 51+","male, 51+"
Calories,1000.00,1200.00,1500.00,1600.00,1800.00,1800.00,2800.00,2000.00,2600.00,1800.00,2200.00,1600.00,2000.00
"Protein, g",13.00,19.00,19.00,34.00,34.00,46.00,52.00,46.00,56.00,46.00,56.00,46.00,56.00
"Carbohydrate, g",130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00
"Total Fat, g",45.36,46.66,58.32,62.21,69.98,69.98,108.86,71.28,92.66,64.15,78.14,57.02,71.28
